,lr,weight_decay,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
10,0.001,0.1,3,5000,200.0,0.5,0.6933094118739457,0.00036626114,0.007047142833471298,0.013577457791566848,0.011126463,0.0043741236,0.005218416,0.0386797,0.28782272,0.18984115,0.5996448,2.0449015e-06,0.24635403,0.1286235,0.37026295,2.6091805e-06,0 days 00:30:30.039271,7728274.67727481
11,0.001,0.1,8,5000,2000.0,0.4972,0.6931498433379164,9.106311e-05,0.0003241300582885742,0.007597076851129533,0.008306492,0.0029582563,0.0047237254,0.035744525,0.39830846,0.07606001,0.46778455,0.24527845,0.20555487,0.028670507,0.2638054,0.15927535,0 days 00:37:36.196651,7730531.034701733
12,0.001,0.01,1,5000,20.0,0.5048,0.6932636806140566,0.0002247442,0.004654345102608204,0.011589678239822387,0.017182292,0.0052745068,0.008404367,0.05291064,0.5553228,0.19087286,0.80148935,0.21874678,0.38740486,0.04013144,0.45133287,0.32678023,0 days 00:34:29.848181,7732601.045460443
13,0.001,0.01,3,5000,200.0,0.5032,0.6933597476351467,0.00041486087,0.0018826908199116588,0.014744413673877717,0.012426933,0.004810463,0.005711957,0.043483246,0.36233395,0.23429114,0.74514353,1.1718811e-05,0.25314867,0.13071175,0.38238922,2.752587e-05,0 days 00:34:55.815954,7734697.020115941
14,0.001,0.01,8,5000,2000.0,0.4956,0.6932208803671396,5.7143407e-05,0.0030003786087036133,0.006313125371932984,0.014863974,0.0071765836,0.004535824,0.056113914,0.4312666,0.04980318,0.49250975,0.33269662,0.1987854,0.03539016,0.28592634,0.15324114,0 days 00:37:50.552387,7736967.735013074
15,0.001,0.001,1,5000,20.0,0.5134,0.6932212690428167,0.0002841373,0.0025037704035639763,0.0135866889834404,0.019940559,0.0063283504,0.007923709,0.06687297,0.40865028,0.19060998,0.67505383,0.12630886,0.4077515,0.051669873,0.46241525,0.30544275,0 days 00:39:02.150666,7739310.052596548
16,0.001,0.001,3,5000,200.0,0.5022,0.6932622202933849,0.0004033309,0.005879770498722792,0.014779545366764069,0.012515021,0.005293156,0.0047615105,0.052064586,0.3334721,0.20725179,0.62460166,6.7399415e-05,0.25392902,0.1304387,0.38506112,0.00021995805,0 days 00:31:41.899023,7741212.116898012
17,0.001,0.001,8,5000,2000.0,0.5088,0.6931161407779739,7.899766e-05,0.0007777810096740723,0.006851569044589996,0.008662277,0.0041807257,0.0046171467,0.035135105,0.5119652,0.04389532,0.55479825,0.42987975,0.19698854,0.030095391,0.2600672,0.14511569,0 days 00:29:41.358049,7742993.645195679
18,0.0001,0.1,1,5000,20.0,0.5068,0.6933843771212906,0.00018670878,0.005899895913898945,0.010552308857440948,0.032375887,0.0104517015,0.017437454,0.117390744,0.48308495,0.09461252,0.5587725,0.30664176,0.46635208,0.03331047,0.4942256,0.39062393,0 days 00:50:51.078948,7746044.880327194
19,0.0001,0.1,3,5000,200.0,0.502,0.6933171464344497,0.00055929454,0.008093120530247688,0.01696764633655548,0.010103668,0.0035635077,0.004275788,0.03445729,0.3500089,0.24618803,0.7261558,1.9263266e-06,0.24510151,0.13022467,0.37806872,5.748047e-06,0 days 00:28:37.783929,7747762.828967395
20,0.0001,0.1,8,5000,2000.0,0.5012,0.6929593326096767,0.0003289978,0.0012876719702035189,0.013555638116598129,0.014297344,0.006904563,0.0051979097,0.078106,0.41168168,0.31284034,0.7843092,0.038882397,0.20985031,0.07636773,0.31412205,0.08116995,0 days 00:38:38.496043,7750081.484714966
21,0.0001,0.01,1,5000,20.0,0.5022,0.6934101511197783,0.0001781297,0.004815586842596531,0.010328952252864839,0.031019421,0.009879684,0.014343427,0.10895728,0.5614193,0.1362173,0.7092496,0.34122914,0.4494345,0.021014873,0.48660836,0.4065535,0 days 01:10:05.454313,7754287.101979388
22,0.0001,0.01,3,5000,200.0,0.5016,0.6932891064059648,0.00057090283,0.0028265495784580708,0.017705994606018065,0.009169338,0.004066003,0.0040153763,0.034724813,0.37755525,0.24999468,0.7676624,5.560216e-06,0.26059765,0.13267748,0.38306028,1.5663709e-05,0 days 00:34:42.031809,7756369.302718155
23,0.0001,0.01,8,5000,2000.0,0.5044,0.6928083538140242,0.00029611198,0.002437587594613433,0.013054260152578354,0.013022683,0.008447802,0.0032650286,0.108218305,0.41430736,0.29425174,0.8224741,0.03251843,0.22526382,0.10854998,0.41585934,0.047903232,0 days 00:41:25.273611,7758854.739487668
24,0.0001,0.001,1,5000,20.0,0.5086,0.6933617780214923,0.0001942298,0.004296562634408474,0.011148325181007385,0.03238375,0.009939582,0.016543763,0.10124952,0.51184976,0.09938826,0.6366774,0.34051722,0.44321436,0.023426233,0.49052277,0.4109456,0 days 01:04:46.929053,7762741.834449505
25,0.0001,0.001,3,5000,200.0,0.497,0.6934948054569419,0.0005586431,0.005678646732121706,0.01655579032897949,0.009459977,0.0037884284,0.0038732958,0.036312282,0.39675647,0.27230984,0.8391546,1.7559081e-06,0.24631585,0.12700132,0.36004263,3.163362e-06,0 days 00:34:58.866435,7764840.873382105
26,0.0001,0.001,8,5000,2000.0,0.5014,0.6928996099325232,0.00039107437,0.008549402467906475,0.014312898933887482,0.015000245,0.0080197705,0.004658945,0.08085566,0.3567375,0.30089033,0.8063017,0.018718861,0.20421837,0.10611832,0.38303635,0.041244455,0 days 00:42:04.006226,7767365.047021502
