,lr,weight_decay,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
13,0.001,0.01,3,1000,200.0,0.4942,0.7041479940356604,0.0042829933,0.055113643407821655,0.052231612098217015,0.02774831,0.012138777,0.009905179,0.0996142,0.7071706,0.16513817,0.99999315,0.5206808,0.32336992,0.16496465,0.45141488,2.8571745e-05,0 days 00:05:38.226869,7695507.035109303
14,0.001,0.01,8,1000,2000.0,0.488,0.6969642240573363,0.0012454866,0.02702079899609089,0.027341275680065155,0.027472254,0.013392484,0.008351413,0.106235825,0.8143395,0.099689454,0.9341693,0.6335504,0.19741794,0.034959946,0.26450366,0.1446696,0 days 00:06:35.415673,7695902.625530554
15,0.001,0.001,1,1000,20.0,0.494,0.6965278746337528,0.001031033,0.030904490500688553,0.02491888864636421,0.025612824,0.007331575,0.015979353,0.08031576,0.7115956,0.15434894,0.9490105,0.47379476,0.3681322,0.082522094,0.46724936,0.22208212,0 days 00:06:44.979101,7696307.762283378
16,0.001,0.001,3,1000,200.0,0.4944,0.7043712160196408,0.0045789406,0.055611751973629,0.05459121640920639,0.027816987,0.010487146,0.009138711,0.078308955,0.675028,0.24291174,1.0,0.25566435,0.29344696,0.1500386,0.40447122,1.409177e-07,0 days 00:06:36.117747,7696704.039710738
17,0.001,0.001,8,1000,2000.0,0.4946,0.6959179569981018,0.0007979114,0.025626689195632935,0.023374340587854384,0.027161557,0.016727224,0.0076857037,0.12802248,0.7220311,0.04225554,0.810894,0.6636072,0.25688294,0.05777263,0.35651806,0.19577652,0 days 00:06:42.820427,7697107.025616567
18,0.0001,0.1,1,1000,20.0,0.5016,0.6944884225710992,0.0005423044,0.01579613797366619,0.01740114713907242,0.042810205,0.015464321,0.019228805,0.14865287,0.5158118,0.10444279,0.6540892,0.38382134,0.46338326,0.014311867,0.48674318,0.4361764,0 days 00:13:06.050473,7697893.240135678
19,0.0001,0.1,3,1000,200.0,0.496,0.703952527587878,0.004101827,0.05079545080661774,0.050779548108577724,0.013737652,0.0050164424,0.0072319624,0.04294075,0.67535,0.18245478,0.99999493,0.44625774,0.29749867,0.1502935,0.39919603,2.19009e-05,0 days 00:06:16.066233,7698269.469185972
20,0.0001,0.1,8,1000,2000.0,0.491,0.7028628890676819,0.003484626,0.05254759266972542,0.049727548789978024,0.029221429,0.017944304,0.007030112,0.13880786,0.74677485,0.24247235,0.98388374,0.32194242,0.23505768,0.14299989,0.4241614,0.022904169,0 days 00:07:01.538735,7698691.174482203
21,0.0001,0.01,1,1000,20.0,0.5038,0.6943851530623747,0.00044531407,0.019031483680009842,0.01585207952260971,0.04088737,0.015013459,0.014886707,0.121984236,0.61698127,0.1347195,0.86114883,0.4704593,0.42685774,0.064133845,0.49376488,0.3092204,0 days 00:11:33.407770,7699384.740677495
22,0.0001,0.01,3,1000,200.0,0.4956,0.7037393450165411,0.004050778,0.05223122239112854,0.05026547455787658,0.011970728,0.0048929746,0.0050871903,0.043659262,0.6453497,0.19370534,0.9999981,0.43025145,0.2934798,0.14836329,0.40032157,5.9024946e-06,0 days 00:06:25.679204,7699770.584462957
23,0.0001,0.01,8,1000,2000.0,0.4926,0.7016885974401599,0.0030042275,0.0461244210600853,0.04546045647859573,0.026114527,0.014818976,0.0058463137,0.10800309,0.69714487,0.2662714,0.98526317,0.2772473,0.24600132,0.11846592,0.39028963,0.044699274,0 days 00:05:57.497156,7700128.258080357
24,0.0001,0.001,1,1000,20.0,0.4992,0.6945020456613722,0.0003550198,0.012037274427711964,0.014049554443359376,0.04291553,0.017660683,0.016579265,0.1386185,0.54348767,0.071270235,0.6284409,0.42643625,0.47683498,0.011389301,0.49104226,0.44801694,0 days 00:15:12.078958,7701040.499857761
25,0.0001,0.001,3,1000,200.0,0.4956,0.7037168638194659,0.0040013315,0.05165957659482956,0.05007218302488327,0.013471823,0.005390064,0.006157564,0.047343776,0.66367394,0.17608248,0.9999851,0.494809,0.3052973,0.15408197,0.4225034,5.938156e-05,0 days 00:06:25.593918,7701426.262133847
26,0.0001,0.001,8,1000,2000.0,0.4934,0.7028880465227735,0.003566172,0.051000434905290604,0.0497294393658638,0.026392763,0.017237853,0.005938996,0.1283111,0.75648105,0.25147682,0.9999466,0.30414742,0.23186205,0.15103298,0.42975414,0.00022304797,0 days 00:06:54.371609,7701840.808452442
