,lr,p_dropout,layers,n_MC_inference,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Delta time,Time
10,0.01,0.3,1,200,250,20.0,0.7236,0.5649570101404361,0.0175704,0.0687832161784172,0.058856874277965474,0.09235019602586929,0.04583891239985236,0.0044007573311615955,0.22017929685483834,0.9987377791961172,0.0024290642252411798,1.0,0.990082243499346,0.01657182370752053,0.030692096266423514,0.09868294018107776,0.0,0 days 00:00:50.586092,1303976.986957628
11,0.01,0.3,1,500,250,20.0,0.721,0.55744309803841,0.015348433,0.06457369029521942,0.059689757254497454,0.0925731231847279,0.04952084367551101,0.022124586021814472,0.19951295398555868,0.9984785284279191,0.0016544071969518813,1.0,0.9916965861135395,0.02771982799561575,0.025653063049942252,0.08878362093428041,1.4030040733986261e-25,0 days 00:02:01.370918,1304098.414961514
12,0.01,0.3,3,50,250,200.0,0.7206,0.5632252380316669,0.016904633,0.0681721493601799,0.05617478251360481,0.10422876080551227,0.04500193054839444,0.004570033301450912,0.290176549243842,0.9699297371574316,0.030781120551295827,1.0,0.8517621897580114,0.11145103543652822,0.08574657776548197,0.3336184301801411,0.0,0 days 00:00:18.846152,1304117.30457433
13,0.01,0.3,3,200,250,200.0,0.726,0.5796643969275277,0.028402276,0.07266803085803986,0.04668919159026009,0.0972224744735893,0.04176707215078154,0.004517309027487318,0.18294915662476002,0.9875130044030549,0.010393367996880818,1.0,0.9631573702394962,0.07810729989140303,0.04594536823169945,0.1643579349853218,1.648107012136807e-26,0 days 00:00:50.494900,1304167.83639384
14,0.01,0.3,3,500,250,200.0,0.7276,0.5598177786241537,0.015165774,0.05881569907069206,0.04953264355022584,0.10958061684204627,0.03495295496595753,0.02634090975373225,0.17851076773377517,0.996192966766294,0.0032620906261429327,1.0,0.9861566161215305,0.04699700848044439,0.028603922014771372,0.1036124632715027,7.140479876152288e-23,0 days 00:02:02.196854,1304290.093041209
15,0.01,0.3,8,50,250,2000.0,0.5088,0.6931481061424122,0.08817706,0.006026089191436768,0.2304727102247638,0.025913502561067513,0.013087161481142268,0.015509879726240683,0.10201731213239593,0.4998795599387242,0.003878808804564585,0.5094356256723404,0.4870241278409958,0.02504357324713589,0.010882117151093912,0.07411042366952648,0.01686240982953376,0 days 00:00:24.828527,1304315.464601458
16,0.01,0.3,8,200,250,2000.0,0.4962,0.6921636629269792,0.0875325,0.010211693122982979,0.23102647039272015,0.0369578399961384,0.014862676325074915,0.022302847244438515,0.24018742541536278,0.49722540452388625,0.0031088558775792673,0.5115929853916168,0.4921752205491066,0.03779367084200126,0.013339305018966638,0.0824555597693262,0.023312300909040844,0 days 00:00:58.412257,1304374.441984196
17,0.01,0.3,8,500,250,2000.0,0.4944,0.7023181529805634,0.09289589,0.06794431805610657,0.2403462516216201,0.07516037421362602,0.013441494815315218,0.0037583722040974996,0.1213555834855788,0.43800678563845225,0.0033665946698662294,0.4467720203399658,0.4302617871761322,0.07827570953085011,0.01324675108362001,0.10862412631174215,0.047763557218238134,0 days 00:02:18.504980,1304513.431045315
18,0.01,0.5,1,50,250,20.0,0.7154,0.5658291181756877,0.020926213,0.08379412442445755,0.0752983198104066,0.10070105698052216,0.06631373648896241,0.0013820869115605953,0.24293835544188733,0.9967911589971672,0.007760878199366194,1.0,0.9537404492497444,0.019998306382378636,0.04524961482324369,0.18310110186951525,0.0,0 days 00:00:16.558155,1304530.050617022
19,0.01,0.5,1,200,250,20.0,0.7128,0.5635187675270258,0.019761518,0.08326699584722519,0.07761731879390901,0.10554553970183932,0.06832273299498377,0.007685702370664179,0.24086146693102614,0.9898595096832834,0.0075323619761319405,1.0,0.966331286127679,0.08293992880819016,0.043394850050185056,0.17178285458850162,4.1046547684610726e-13,0 days 00:00:50.667620,1304580.752070667
20,0.01,0.5,1,500,250,20.0,0.7258,0.5726478225110683,0.026211152,0.08319874107837677,0.07524212405957405,0.1116595786209556,0.056530988035774485,0.028983401488009236,0.2497288127070255,0.9845228180955204,0.01590652349138543,1.0,0.949774932384491,0.09146125136880165,0.05697032000645516,0.20910534187203997,7.789119410340083e-15,0 days 00:01:56.071887,1304696.862514292
21,0.01,0.5,3,50,250,200.0,0.7214,0.5560453134281489,0.013245647,0.048063959926366806,0.04189556533821051,0.17609302316211228,0.057695813295101386,0.018749817476506954,0.35050850576958575,0.945902286084468,0.0421982032649132,1.0,0.8276602507337728,0.18570058480544294,0.09515862803965407,0.3712952128249508,0.0,0 days 00:00:16.449263,1304713.373690945
