,lr,weight_decay,annealing_coef,layers,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD
60,0.0001,0.1,1.0,1,1000,20.0,0.5358,0.6897117948632518,0.10183972,0.10481354594230652,0.1852842322211487,0.2300308,0.015350427,0.15442462,0.27216896,0.49688455,0.29729158,0.98845273,0.052478757,0.1406765,0.1187722,0.28794277,0.0113950195
61,0.0001,0.1,1.0,3,1000,200.0,0.7366,0.5953826264660105,0.049947456,0.11467741429805756,0.11935571574678253,0.1930038,0.02115919,0.078419656,0.21649468,0.9809326,0.025676925,0.9952172,0.9275665,0.009481279,0.0065748035,0.024697889,0.004759965
62,0.0001,0.1,1.0,8,1000,2000.0,0.7198,0.5478138589196746,0.016821267,0.05944132059812546,0.06923871496876309,0.16837452,0.048421126,0.058822617,0.22348785,0.96012866,0.009879905,0.96868205,0.9403001,0.014729694,0.0043743886,0.024342693,0.010186395
63,0.0001,0.01,0.01,1,1000,20.0,0.4044,0.7181853942271496,0.11327019,0.1316186934709549,0.19778772306551767,0.22637041,0.025648156,0.13147154,0.27615696,0.37960622,0.17043881,0.5654258,0.13985741,0.10915857,0.09766077,0.28867513,0.02865279
64,0.0001,0.01,0.01,3,1000,200.0,0.7358,0.5535634325138042,0.021390831,0.06424106657505035,0.05618054941406081,0.11482598,0.025504032,0.034009915,0.1571202,0.92952067,0.08488154,0.9988041,0.7824561,0.006127043,0.004322024,0.013164207,0.0011944913
65,0.0001,0.01,0.01,8,1000,2000.0,0.717,0.5455486431668449,0.012085724,0.0366879403591156,0.049708281763247944,0.029122815,0.010885798,0.009664722,0.06641755,0.76791865,0.03489823,0.79762596,0.71966344,0.0029854008,0.00017528543,0.0033348305,0.0026317986
66,0.0001,0.01,0.1,1,1000,20.0,0.6104,0.6742330965202242,0.09196501,0.07645390927791595,0.19379158827175924,0.2482873,0.0067314086,0.22679316,0.2736322,0.7425697,0.19957109,0.9562938,0.50000024,0.16727139,0.103629045,0.2886751,0.041835926
67,0.0001,0.01,0.1,3,1000,200.0,0.7382,0.562181510558662,0.02862719,0.0715840682387352,0.06634662666132281,0.13800147,0.026838763,0.044030193,0.17804259,0.9424671,0.07626205,0.99815303,0.8037719,0.0070913043,0.005912925,0.017651856,0.0018435748
68,0.0001,0.01,0.1,8,1000,2000.0,0.6596,0.6015872986707833,0.048698593,0.061423636972904205,0.13547682686259577,0.11618367,0.04138223,0.04131897,0.21788296,0.599713,0.0028510618,0.60380787,0.59546524,0.016392358,0.004082137,0.023594068,0.010285548
69,0.0001,0.01,1.0,1,1000,20.0,0.5002,0.6932593200068962,0.10054763,0.03949035331606865,0.22284072262158222,0.25832984,0.012617002,0.23553787,0.28858057,0.50000024,7.108914e-07,0.5000044,0.5,0.28867507,1.3384708e-07,0.28867513,0.2886743
70,0.0001,0.01,1.0,3,1000,200.0,0.6238,0.6952644263778734,0.10738999,0.14501546323299408,0.13740598881950208,0.17724395,0.03677351,0.073983446,0.22551508,0.6983672,0.28997386,0.99370635,0.22764614,0.02002371,0.0102611715,0.040464483,0.006253937
