x1,x2,r,a1,p_c0,p_r_given_c0,p_c0_given_r,p_c1,p_r_given_c1,p_c1_given_r,p_r
-20.847120855539963,-34.98076211353316,40.72169159071227,4.174945661802933,0.5,5.761222530785008e-06,0.031537337153156694,0.5,0.0001769181997300873,0.9684626628468432,9.133971113043615e-05
-20.140438792640303,-34.98076211353316,40.36447686770742,4.189985548668161,0.5,6.432803657197231e-06,0.032080014822664545,0.5,0.0001940909084656679,0.9679199851773355,0.00010026185606143256
-19.433756729740644,-34.98076211353316,40.01655430786535,4.205290475992353,0.5,7.161559545472091e-06,0.03262200017495408,0.5,0.00021237002978271576,0.9673779998250459,0.00010976579466409393
-18.727074666840984,-34.98076211353316,39.67816835012718,4.220860152019709,0.5,7.948879574740193e-06,0.033162260212857446,0.5,0.00023174767680347397,0.9668377397871426,0.00011984827818910708
-18.020392603941325,-34.98076211353316,39.34956502483579,4.236693761529698,0.5,8.795579154768597e-06,0.03369969756418891,0.5,0.0002522031772291832,0.9663003024358111,0.0001304993781919759
-17.313710541041665,-34.98076211353316,39.03099141378008,4.252789932259912,0.5,9.701800545827155e-06,0.03423315192736819,0.5,0.00027370185934535887,0.9657668480726318,0.000141701829945593
-16.607028478142006,-34.98076211353316,38.722695062681474,4.2691467020704215,0.5,1.06669142373297e-05,0.034761402271742944,0.5,0.00029619395846114263,0.965238597728257,0.00015343043634923618
-15.900346415242343,-34.98076211353316,38.42492334629058,4.285761487257814,0.5,1.1689423902686115e-05,0.035283169852094794,0.5,0.00031961368609813214,0.9647168301479052,0.00016565155500040913
-15.193664352342683,-34.98076211353316,38.13792278684362,4.302631052460307,0.5,1.2766878339745902e-05,0.035797122089753226,0.5,0.00034387850526779184,0.9642028779102467,0.00017832269180376888
-14.486982289443024,-34.98076211353316,37.861938327273116,4.319751482624563,0.5,1.3895794122595338e-05,0.03630187736334841,0.5,0.000368888654833342,0.9636981226366516,0.00019139222447796868
-13.780300226543364,-34.98076211353316,37.59721256126932,4.3371181575287325,0.5,1.5071592900879733e-05,0.036796010740405324,0.5,0.000394526964051648,0.9632039892595947,0.00020479927847626386
-13.073618163643705,-34.98076211353316,37.3439849230415,4.354725729373484,0.5,1.6288557356963358e-05,0.03727806066668996,0.5,0.0004206589947864371,0.9627219393333101,0.00021847377607170024
-12.366936100744045,-34.98076211353316,37.102490840420444,4.372568103961823,0.5,1.7539809741015975e-05,0.03774653661352643,0.5,0.00044713354348871064,0.9622534633864737,0.0002323366766148633
-11.660254037844386,-34.98076211353316,36.872960855763445,4.3906384259880475,0.5,1.8817316625947e-05,0.03819992766437692,0.5,0.00047378352783834657,0.961800072335623,0.0002463004222321468
-10.953571974944726,-34.98076211353316,36.655619719954146,4.408929068944868,0.5,2.0111923041461676e-05,0.03863671200109645,0.5,0.0005004272740022963,0.9613632879989035,0.000260269598521879
-10.246889912045066,-34.98076211353316,36.450685465614605,4.427431630134535,0.5,2.1413418452322716e-05,0.039055367227844244,0.5,0.0005268702099514111,0.9609446327721558,0.0002741418142018669
-9.540207849145407,-34.98076211353316,36.25836846644499,4.446136931233765,0.5,2.271063614478217e-05,0.039454381447182114,0.5,0.0005529069584482309,0.960545618552818,0.0002878087972965065
-8.833525786245747,-34.98076211353316,36.07887049035578,4.465035024812867,0.5,2.3991586495064826e-05,0.03983226497906036,0.5,0.0005783238105248408,0.9601677350209396,0.0003011576985099528
-8.126843723346084,-34.98076211353316,35.91238375473405,4.484115207146637,0.5,2.524362334698773e-05,0.04018756258993773,0.5,0.0006029015469527483,0.9598124374100623,0.000314072585149868
