index,x1,x2,r_x,a_x,P_red_and_x,P_blue_and_x,P_x,P_red_given_x,P_blue_given_x
52,1.262626262626263,-25.0,25.031864195042957,4.762851154401545,1.7201339086319823e-07,7.884984638411375e-09,1.798983755016096e-07,0.9561697840993522,0.043830215900647895
53,1.7676767676767682,-25.0,25.06241570868587,4.782978570203563,1.799588742355967e-07,7.310046993408627e-09,1.8726892122900532e-07,0.9609649751521269,0.039035024847873176
54,2.2727272727272734,-25.0,25.103093220880137,4.803048867585435,1.791313090608616e-07,7.572752411435567e-09,1.8670406147229717e-07,0.9594398089055004,0.04056019109449956
55,2.7777777777777786,-25.0,25.15384760593727,4.8230462015585855,1.6944998614479253e-07,6.333424640586731e-09,1.7578341078537926e-07,0.9639702938275589,0.03602970617244111
56,3.282828282828284,-25.0,25.214618012861852,4.842955075184317,1.4408538047822023e-07,7.716230854003264e-09,1.518016113322235e-07,0.9491689792599368,0.050831020740063196
57,3.787878787878789,-25.0,25.2853322246646,4.862760408391824,1.4092832964248365e-07,5.777685056516396e-09,1.4670601469900006e-07,0.9606172584786615,0.03938274152133843
58,4.292929292929294,-25.0,25.36590707848017,4.882447601976746,1.3821257866150046e-07,5.727221521215824e-09,1.4393980018271628e-07,0.9602109943605194,0.03978900563948071
59,4.797979797979799,-25.0,25.45624894091473,4.902002596159079,1.3034492936921864e-07,5.314870464943786e-09,1.3565979983416244e-07,0.9608220676173711,0.03917793238262889
60,5.3030303030303045,-25.0,25.55625423247424,4.921411923190954,1.1337268002872413e-07,4.538843395654957e-09,1.1791152342437909e-07,0.9615063628741436,0.03849363712585633
61,5.80808080808081,-25.0,25.66580999448871,4.9406627536227425,1.0169805704035499e-07,4.452564882410324e-09,1.0615062192276531e-07,0.958054274183622,0.04194572581637806
62,6.313131313131315,-25.0,25.784794491654168,4.9597429359565135,1.0185190240810428e-07,4.0674910241469624e-09,1.0591939343225124e-07,0.9615982409609565,0.03840175903904353
63,6.81818181818182,-25.0,25.913077843162228,4.9786410295356145,7.918532161240087e-08,3.084283662540767e-09,8.226960527494163e-08,0.9625100466662844,0.03748995333371563
64,7.323232323232325,-25.0,26.050522675371308,4.997346330634844,7.898605126355208e-08,3.205245027939491e-09,8.219129629149158e-08,0.9610026222658408,0.03899737773415914
65,7.8282828282828305,-25.0,26.196984789085704,5.015848891824511,7.656205659509703e-08,2.4970837427093634e-09,7.905914033780639e-08,0.9684149899424691,0.03158501005753092
66,8.333333333333336,-25.0,26.352313834736496,5.034139534781332,7.034470205212938e-08,2.288425721377242e-09,7.263312777350662e-08,0.9684933612040874,0.031506638795912624
67,8.838383838383841,-25.0,26.51635398908765,5.052209856807556,5.904137758164619e-08,1.8475109405751017e-09,6.088888852222129e-08,0.9696576668516317,0.030342333148368376
68,9.343434343434346,-25.0,26.68894462750576,5.070052231395896,4.469634552530785e-08,1.5925409908209052e-09,4.6288886516128755e-08,0.9655956081322888,0.034404391867711166
69,9.848484848484851,-25.0,26.869920986315453,5.087659803240647,4.096449434104061e-08,1.5180114903721548e-09,4.248250583141277e-08,0.9642673740481266,0.035732625951873445
70,10.353535353535356,-25.0,27.059114810298333,5.105026478144817,3.6537680550743367e-08,1.1856460568235323e-09,3.77233266075669e-08,0.9685699495922583,0.03143005040774173
71,10.858585858585862,-25.0,27.256354980963263,5.122146908309073,3.3071196301205977e-08,1.0522329483501478e-09,3.4123429249556124e-08,0.9691639154829718,0.030836084517028288
72,11.363636363636369,-25.0,27.461468121805847,5.139016473511566,2.5134152384438027e-08,8.874230098405427e-10,2.602157539427857e-08,0.9658966455184084,0.03410335448159156
73,11.868686868686872,-25.0,27.674279177368653,5.155631258698958,2.1071125456605075e-08,6.797401269220619e-10,2.1750865583527136e-08,0.9687488240726908,0.03125117592730922
74,12.373737373737375,-25.0,27.89461196349978,5.1719880285094675,1.7441066245398152e-08,6.292658361255718e-10,1.8070332081523724e-08,0.9651768526839097,0.03482314731609022
75,12.878787878787882,-25.0,28.122289686773616,5.188084199239682,1.5938801467117098e-08,4.701672018410315e-10,1.6408968668958128e-08,0.9713469376822886,0.02865306231771142
76,13.383838383838388,-25.0,28.357135431575344,5.2039178087496705,1.2409004205339506e-08,3.846403955816325e-10,1.2793644600921138e-08,0.9699350413756266,0.030064958624373427
77,13.888888888888893,-25.0,28.59897261385278,5.2194874847770265,1.0289933146204464e-08,3.3874646078640474e-10,1.062867960699087e-08,0.9681290175908963,0.03187098240910365
78,14.393939393939398,-25.0,28.847625400999654,5.234792412101219,9.154817633908873e-09,2.7570899646452637e-10,9.430526630373399e-09,0.970764199363317,0.029235800636682976
79,14.898989898989903,-25.0,29.10291909775037,5.249832298966448,6.9268771149090615e-09,1.9528723846167693e-10,7.122164353370738e-09,0.9725803521552754,0.027419647844724684
80,15.404040404040408,-25.0,29.36468049833523,5.264607343135322,6.13389260083763e-09,1.448683580416658e-10,6.278760958879295e-09,0.9769272378753653,0.023072762124634785
81,15.909090909090914,-25.0,29.632738205466588,5.279118197908196,4.67266688688768e-09,1.2460106391836884e-10,4.797267950806049e-09,0.9740266615923688,0.025973338407631174
82,16.41414141414142,-25.0,29.90692291700088,5.293365938404992,3.535671687566957e-09,1.0441931052618332e-10,3.64009099809314e-09,0.971314093361709,0.028685906638290997
83,16.919191919191924,-25.0,30.187067681350722,5.307352028368584,3.0829318410478523e-09,6.738121571691523e-11,3.1503130567647676e-09,0.9786112635465781,0.021388736453421795
84,17.42424242424243,-25.0,30.473008122907224,5.321078287712101,2.2498076490957743e-09,5.443673414767628e-11,2.3042443832434504e-09,0.9763754510834258,0.023624548916574218
85,17.929292929292934,-25.0,30.76458263887865,5.334546860997301,1.659718794265664e-09,4.01538231066133e-11,1.6998726173722773e-09,0.9763783340608873,0.023621665939112833
86,18.43434343434344,-25.0,31.061632569060517,5.3477601869980305,1.451725448779755e-09,3.705548311865594e-11,1.488780931898411e-09,0.9751101842287805,0.024889815771219504
87,18.939393939393945,-25.0,31.36400234012796,5.36072096947195,1.0030339977111479e-09,2.4393516844325656e-11,1.0274275145554736e-09,0.9762576760902887,0.02374232390971128
88,19.44444444444445,-25.0,31.671539586087167,5.373432149235376,8.852938596698798e-10,1.788582104432035e-11,9.031796807142001e-10,0.9801968296826863,0.01980317031731374
89,19.949494949494955,-25.0,31.984095246542847,5.385896877610462,6.860850040672244e-10,1.528863389302134e-11,7.013736379602458e-10,0.9782018697801586,0.021798130219841408
90,20.45454545454546,-25.0,32.30152364443613,5.398118491290976,4.963482052848844e-10,9.914876166990737e-12,5.062630814518752e-10,0.9804155654831543,0.019584434516845634
91,20.95959595959597,-25.0,32.62368254488619,5.410100488652637,3.920109223380752e-10,7.72210195170027e-12,3.997330242897755e-10,0.9806818514296624,0.019318148570337645
92,21.46464646464647,-25.0,32.950433196731424,5.421846507516244,2.641543853145625e-10,5.824301677328699e-12,2.699786869918912e-10,0.9784268093817954,0.021573190618204733
93,21.969696969696976,-25.0,33.281640358316366,5.433360304356585,2.3228149206081957e-10,4.27231171324433e-12,2.365538037740639e-10,0.981939365822564,0.018060634177435926
94,22.47474747474748,-25.0,33.617172309009995,5.444645734937202,1.8290234924554731e-10,3.1549531277056135e-12,1.8605730237325293e-10,0.9830431104425216,0.0169568895574784
95,22.979797979797983,-25.0,33.956900847873726,5.455706736340248,1.1556073091960488e-10,2.209145719982014e-12,1.177698766395869e-10,0.9812418439840714,0.01875815601592841
96,23.484848484848484,-25.0,34.300701280823546,5.46654731035187,9.687875487511883e-11,1.756141108781061e-12,9.86348959838999e-11,0.9821955395069538,0.01780446049304614
97,23.98989898989899,-25.0,34.64845239755387,5.477171508156534,6.610828850885803e-11,1.182079788584663e-12,6.729036829744268e-11,0.9824331502636525,0.017566849736347586
98,24.49494949494949,-25.0,35.0000364394114,5.487583416288183,5.458763684241772e-11,8.507536357610373e-13,5.543839047817876e-11,0.9846540704298422,0.015345929570157787
99,25.0,-25.0,35.35533905932738,5.497787143782138,3.896386879031575e-11,5.901162929956729e-13,3.955398508331142e-11,0.9850807373327181,0.01491926266728189
100,-25.0,-24.49494949494949,35.0000364394114,3.9167870894932872,4.9532312575785366e-11,8.532800022402716e-13,5.038559257802564e-11,0.9830650001601369,0.016934999839863102
