,x1,x2,r_x,a_x,P_red_and_x,P_blue_and_x,P_x,P_red_given_x,P_blue_given_x
2094,22.47474747474748,-14.898989898989898,26.964683830222658,5.69778010038832,9.506896196717435e-09,3.5853244375378735e-10,9.865428640471223e-09,0.9636576922483662,0.036342307751633794
2095,22.979797979797986,-14.898989898989898,27.387059265326947,5.707969730444308,8.550815227857543e-09,2.293673370965536e-10,8.780182564954096e-09,0.9738767006950324,0.026123299304967557
2096,23.484848484848484,-14.898989898989898,27.81219172173407,5.717848846415703,4.649931248270018e-09,1.6884481579141353e-10,4.8187760640614316e-09,0.9649610578398397,0.035038942160160326
2097,23.98989898989899,-14.898989898989898,28.239956684735894,5.727429586067273,3.362110488641813e-09,9.544882231504282e-11,3.4575593109568555e-09,0.9723941619706798,0.027605838029320175
2098,24.494949494949495,-14.898989898989898,28.67023632219186,5.736723584368302,2.3371207625497346e-09,8.814656792377916e-11,2.425267330473514e-09,0.9636549064854762,0.03634509351452372
2099,25.0,-14.898989898989898,29.102919097750366,5.745741988597829,1.7653030941076486e-09,5.2531939047229305e-11,1.817835033154878e-09,0.9711019217425579,0.02889807825744198
2100,-25.0,-14.393939393939393,28.847625400999654,3.663996085306322,1.695443579434971e-09,6.822934351725375e-11,1.7636729229522247e-09,0.9613140607709484,0.038685939229051704
2101,-24.494949494949495,-14.393939393939393,28.411054926498714,3.6728660674316074,3.6141408008147203e-09,7.640192575423176e-11,3.690542726568952e-09,0.9792979159395178,0.020702084060482236
2102,-23.98989898989899,-14.393939393939393,27.976789394459775,3.682012153860377,4.085705679238249e-09,1.6810003052926895e-10,4.253805709767518e-09,0.9604824380804979,0.03951756191950198
2103,-23.484848484848484,-14.393939393939393,27.54493782226946,3.6914458362663782,6.238539889259712e-09,1.5464123797649504e-10,6.393181127236207e-09,0.9758115349934804,0.024188465006519683
2104,-22.97979797979798,-14.393939393939393,27.11561554655781,3.701179135443886,1.2129032257209777e-08,2.639325091784524e-10,1.239296476638823e-08,0.9787030372349415,0.02129696276505853
2105,-22.474747474747474,-14.393939393939393,26.688944627505755,3.7112246205801993,1.319349894401393e-08,4.1973618757676e-10,1.3613235131590689e-08,0.9691670507767308,0.03083294922326919
2106,-21.96969696969697,-14.393939393939393,26.26505427781775,3.721595427797474,2.0224917475073368e-08,7.533435268872395e-10,2.0978261001960608e-08,0.9640893243335645,0.03591067566643549
2107,-21.464646464646464,-14.393939393939393,25.84408131717319,3.7323052776032917,2.3469656905335665e-08,1.0118929616492977e-09,2.4481549866984963e-08,0.958667120049703,0.04133287995029695
2108,-20.95959595959596,-14.393939393939393,25.42617065281187,3.743368490817961,3.343495975121938e-08,1.1460455305116887e-09,3.458100528173107e-08,0.966859103106608,0.033140896893391864
2109,-20.454545454545453,-14.393939393939393,25.011475786695723,3.7548000024643025,4.865895953607983e-08,2.4587295334294817e-09,5.111768906950931e-08,0.9519006125240497,0.048099387475950384
2110,-19.949494949494948,-14.393939393939393,24.6001593494092,3.7666153730112906,6.58056449563061e-08,2.9130224574886856e-09,6.871866741379479e-08,0.9576094448987538,0.042390555101246286
2111,-19.444444444444443,-14.393939393939393,24.192393660600985,3.77883079625541,9.048598941744104e-08,4.122045531411873e-09,9.460803494885291e-08,0.9564302806453984,0.04356971935460172
2112,-18.939393939393938,-14.393939393939393,23.788361315314518,3.7914631030017407,9.672650800531683e-08,6.260898762170773e-09,1.029874067674876e-07,0.9392071423226932,0.06079285767730676
2113,-18.434343434343432,-14.393939393939393,23.388255794986534,3.8045297595699,1.6468111708094654e-07,1.0580363187870246e-08,1.7526148026881678e-07,0.9396309835359028,0.060369016464097196
2114,-17.929292929292927,-14.393939393939393,22.992282101191993,3.8180488599973756,1.884992826654784e-07,1.1293971845368737e-08,1.9979325451084715e-07,0.9434717059241079,0.05652829407589217
2115,-17.424242424242422,-14.393939393939393,22.600657409358025,3.832039110644485,3.060766405849866e-07,1.3090960331576885e-08,3.191676009165635e-07,0.9589840563579036,0.0410159436420964
2116,-16.919191919191917,-14.393939393939393,22.213611738635603,3.8465198057217806,3.1921225802131113e-07,1.840484153992058e-08,3.3761709956123174e-07,0.945486050428608,0.054513949571391884
2117,-16.41414141414141,-14.393939393939393,21.831388632879783,3.861510792063777,4.803198466181486e-07,3.3617135679949765e-08,5.139369822980984e-07,0.9345889927406492,0.06541100725935081
2118,-15.909090909090908,-14.393939393939393,21.45424584622166,3.877032421265299,6.115143989310011e-07,4.209728636452959e-08,6.536116852955308e-07,0.9355928186236522,0.06440718137634777
2119,-15.404040404040403,-14.393939393939393,21.082456024991718,3.893105487083124,6.733409993958628e-07,4.859204594961317e-08,7.21933045345476e-07,0.9326917554710911,0.06730824452890889
2120,-14.898989898989898,-14.393939393939393,20.716307375751196,3.9097511457927117,8.18287884218253e-07,6.466484807632404e-08,8.829527322945771e-07,0.9267629560324525,0.07323704396754739
