,lr,weight_decay,layers,bias_weight,ntrain,nodes,ACC,LogLoss,Mean KL-div,ECE,WD,Mean UQ,Std UQ,Min UQ,Max UQ,Mean Pc1 OOD,Std Pc1 OOD,Max Pc1 OOD,Min Pc1 OOD,Mean UQ OOD,Std UQ OOD,Max UQ OOD,Min UQ OOD,Training time,Time
38,0.001,0.01,1,0.2,5000,20.0,0.7302,0.5521963326309384,0.014038377,0.06869349628686905,0.0619698908684415,0.08801278,0.017138511,0.005962962,0.11320362,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:14:30.768722,6767560.20717364
39,0.001,0.01,3,0.5,5000,200.0,0.7314,0.5565498737941652,0.0161247,0.07730761170387268,0.07872465646840755,0.17455223,0.0074429833,0.1326645,0.21704386,0.9985119,0.0028382638,1.0,0.9902293,0.005796156,0.010843528,0.036084834,0.0,0 days 00:09:38.251392,6768138.603388309
40,0.001,0.01,3,0.1,5000,200.0,0.727,0.5354954733094388,0.003443807,0.025819936767220497,0.024448687685058756,0.05938455,0.008898545,0.01988064,0.0996494,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:08:49.565557,6768668.311348557
41,0.001,0.01,3,0.2,5000,200.0,0.7298,0.540396719434901,0.006149112,0.04185599088668823,0.04130156234480564,0.08951354,0.0065836003,0.047471367,0.11368177,1.0,0.0,1.0,1.0,1.4353234e-09,6.8917796e-09,5.3312014e-08,0.0,0 days 00:09:53.925038,6769262.376694766
42,0.001,0.01,8,0.5,5000,2000.0,0.7324,0.5622598715974876,0.01997453,0.0913398265838623,0.09181402362860863,0.16299936,0.011727632,0.13775794,0.20577957,0.9999987,3.5394366e-06,1.0,0.99998015,5.9104696e-06,1.5787784e-05,8.868424e-05,0.0,0 days 00:10:51.251583,6769913.767201423
43,0.001,0.01,8,0.1,5000,2000.0,0.7284,0.551826249294629,0.015993621,0.06452921777963638,0.06596773382999127,0.094473846,0.046234358,0.031406138,0.21321669,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:10:25.766673,6770539.67723326
44,0.001,0.01,8,0.2,5000,2000.0,0.73,0.5485178307929864,0.0134713,0.060069452971220016,0.06277845935203259,0.0999447,0.026942102,0.04477856,0.17060141,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:12:11.364433,6771271.182480772
45,0.001,0.001,1,0.5,5000,20.0,0.7312,0.5682386006397727,0.02403594,0.09937119483947754,0.09695944614686194,0.17448972,0.022412105,0.030956462,0.20461476,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:14:18.551971,6772129.870762719
46,0.001,0.001,1,0.1,5000,20.0,0.7312,0.548406947937698,0.010135255,0.059665072709321976,0.04933970595874016,0.051301006,0.011998644,0.0029053846,0.07450442,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:16:26.384927,6773116.403331567
47,0.001,0.001,1,0.2,5000,20.0,0.7296,0.5517182132825362,0.013511017,0.07008947432041168,0.06162006101586048,0.089442916,0.016916743,0.009522912,0.12004086,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:17:22.316563,6774158.860761257
48,0.001,0.001,3,0.5,5000,200.0,0.7294,0.5571370981984898,0.016020346,0.07490632683038712,0.0793746990797681,0.17436336,0.0075286697,0.1344957,0.2130734,0.99998933,2.8731267e-05,1.0,0.9998434,1.9816542e-05,5.155907e-05,0.0002776265,0.0,0 days 00:10:31.013752,6774790.015647603
49,0.001,0.001,3,0.1,5000,200.0,0.7302,0.5355754452649995,0.0030358287,0.02710498683154583,0.021802947755680722,0.05136963,0.00652157,0.015799772,0.08215086,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:10:07.473134,6775397.630385827
50,0.001,0.001,3,0.2,5000,200.0,0.731,0.539724028642809,0.005839585,0.04133070260286331,0.040146677821652335,0.08795932,0.007627968,0.04468522,0.12404478,1.0,0.0,1.0,1.0,2.8706468e-09,1.16148895e-08,7.996802e-08,0.0,0 days 00:09:32.842546,6775970.612442479
51,0.001,0.001,8,0.5,5000,2000.0,0.7304,0.5561251923095213,0.016014863,0.07879763841629028,0.08163777312614148,0.17579547,0.010783416,0.14165457,0.23135264,1.0,1.4843292e-08,1.0,0.9999999,1.00999795e-08,3.1234986e-08,2.0565989e-07,0.0,0 days 00:10:52.940073,6776623.698763164
52,0.001,0.001,8,0.1,5000,2000.0,0.7296,0.5558398165899929,0.018528692,0.07259240001440048,0.07462542655445759,0.090041734,0.045064267,0.035562858,0.20062877,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:10:19.725148,6777243.569590781
53,0.001,0.001,8,0.2,5000,2000.0,0.7324,0.5464963192724023,0.011153164,0.0637078657746315,0.06233976846464102,0.10624336,0.018050887,0.07582436,0.17358701,0.99951756,0.00092587754,1.0,0.99650955,0.002157513,0.0041406504,0.015610051,0.0,0 days 00:12:44.523201,6778008.234882792
54,0.0001,0.1,1,0.5,5000,20.0,0.7282,0.6142053474549126,0.05136081,0.15351805090904236,0.15299580112375444,0.16565236,0.015389694,0.12565407,0.198884,0.99946386,0.0007517838,1.0,0.9972801,0.002397506,0.0033620729,0.01216362,0.0,0 days 00:29:27.695586,6779776.070404564
55,0.0001,0.1,1,0.1,5000,20.0,0.728,0.5967941695385656,0.044181813,0.1244935393333435,0.12434734814442819,0.07066053,0.016166518,0.024778076,0.099832475,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:32:15.019417,6781711.231912062
56,0.0001,0.1,1,0.2,5000,20.0,0.7326,0.5938865507277374,0.041727223,0.12680938839912415,0.12372547070063773,0.103450425,0.02192125,0.016469548,0.13114938,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:35:19.986232,6783831.358122691
57,0.0001,0.1,3,0.5,5000,200.0,0.7298,0.5570618432594711,0.016618585,0.07744236290454865,0.07913785791076844,0.17098218,0.009983879,0.076295264,0.19754125,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:12:54.735975,6784606.235699386
58,0.0001,0.1,3,0.1,5000,200.0,0.7292,0.536934373087173,0.0034379326,0.02691945806145668,0.022089524459616587,0.04783665,0.0054967646,0.008841535,0.058364213,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:15:00.777309,6785507.155131343
59,0.0001,0.1,3,0.2,5000,200.0,0.7302,0.5407149938093602,0.0063244556,0.04386749863624573,0.04011527381368105,0.08566355,0.00813379,0.024226435,0.11194793,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:14:03.021149,6786350.315657579
60,0.0001,0.1,8,0.5,5000,2000.0,0.7312,0.5560145748726676,0.01570578,0.07651215046644211,0.0791226562676591,0.17369482,0.0077399826,0.14882478,0.20856178,0.9999993,1.9507568e-06,1.0,0.9999882,1.4433361e-06,4.060442e-06,2.4071493e-05,0.0,0 days 00:10:43.286053,6786993.744317464
61,0.0001,0.1,8,0.1,5000,2000.0,0.7304,0.5355425311132792,0.0035951626,0.02731381356716156,0.022149419647232937,0.0573993,0.009427252,0.01806157,0.10117005,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:09:33.967032,6787567.851459592
62,0.0001,0.1,8,0.2,5000,2000.0,0.7302,0.5395743662217668,0.0061272127,0.04119547829031944,0.04119275594629472,0.091604285,0.007272753,0.051442012,0.13126673,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:09:35.583029,6788143.58014574
63,0.0001,0.01,1,0.5,5000,20.0,0.734,0.6038821064474578,0.04563953,0.135292187333107,0.14155344327964012,0.17507513,0.012949212,0.06413107,0.19781914,0.99999684,8.483643e-06,1.0,0.9999548,1.4081241e-05,3.7961923e-05,0.00020234575,0.0,0 days 00:31:47.606792,6790051.329414706
64,0.0001,0.01,1,0.1,5000,20.0,0.7256,0.5986548813029794,0.04510828,0.12394494563341141,0.12609901613868899,0.06874727,0.018013988,0.019774234,0.10150579,1.0,1.8179247e-08,1.0,0.9999999,1.4558282e-08,5.1963347e-08,3.4652808e-07,0.0,0 days 00:29:07.790281,6791799.264769181
65,0.0001,0.01,1,0.2,5000,20.0,0.7326,0.595375930802565,0.04265597,0.12716004252433777,0.1259712798980636,0.0976792,0.010299594,0.04192841,0.11836849,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:30:10.450251,6793609.856059047
66,0.0001,0.01,3,0.5,5000,200.0,0.73,0.5575985351711881,0.016796097,0.07877948135137558,0.08019688549615567,0.17216536,0.010097361,0.07991854,0.19984263,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0 days 00:12:37.689195,6794367.686158769
